news,news,news,other,datetime,other,other,other
"Borsa: Tokyo, apertura in rialzo (+0,42%) - Ultima ora - Ansa.it","Borsa: Tokyo, apertura in rialzo (+0,42%)","Borsa: Tokyo, apertura in rialzo (+0,42%)","Fiducia imprese in Giappone migliora oltre attese, yen stabile",",
                          13 dicembre 2023, 01:26","La Borsa di Tokyo inizia la seduta
in rialzo, in scia al consolidamento degli indici azionari Usa e
dopo il miglioramento oltre le attese della fiducia delle
imprese in Giappone, segnalato dall'indice Tankan della Bank of
Japan.      
				   In apertura l'indice di riferimento Nikkei avanza dello 0,42%
a quota 32.980,54, segnando un progresso di 136 punti.","Sul
fronte valutario lo yen tratta a un valore di 145,30 sul dollaro
e poco sotto a 157 sull'euro.",
Treno travolge e uccide un uomo e una donna nel Mantovano - Ultima ora - Ansa.it,Treno travolge e uccide un uomo e una donna nel Mantovano,Treno travolge e uccide un uomo e una donna nel Mantovano,Indagini per stabilire se doppio suicidio o incidente,",
                          12 dicembre 2023, 09:10","Un uomo e una donna sono morti
travolti da un treno in aperta campagna.",,"Sono
in corso le indagini per chiarire la dinamica dell'accaduto e
per stabilire se si è trattato di un gesto volontario, come
sembra essere più probabile, o di un incidente.Il convoglio
passeggeri proveniva da Milano ed era diretto a Mantova."
"Harvard non silura la rettrice, salvata dal cda - Ultima ora - Ansa.it","Harvard non silura la rettrice, salvata dal cda","Harvard non silura la rettrice, salvata dal cda",Sostegno unanime a Claudine Gay,",
                          12 dicembre 2023, 14:36","Il consiglio di amministrazione
di Harvard ha votato all'unanimità a favore della rettrice
Claudine Gay, finita nella bufera assieme ad altre due colleghe,
per una serie di frasi controverse sull'antisemitismo.      
				    ""In questo momento tumultuoso e difficile, sosteniamo
all'unanimità la presidente Gay"", ha affermato il consiglio di
amministrazione di Harvard in una nota.",,
"Il prezzo del gas scende a 35 euro, su un anno -54% - Ultima ora - Ansa.it","Il prezzo del gas scende a 35 euro, su un anno -54%","Il prezzo del gas scende a 35 euro, su un anno -54%","Ad Amsterdam quotazioni cedono il 2,5%. Minimi da dicembre 2021",",
                          12 dicembre 2023, 13:39","Il prezzo del gas scende a 35 euro
e aggiorna i minimi a dicembre del 2021.",,"Su
un anno la flessione è del 54%."
"Wsj, Israele inizia a pompare acqua di mare in tunnel a Gaza - Ultima ora - Ansa.it","Wsj, Israele inizia a pompare acqua di mare in tunnel a Gaza","Wsj, Israele inizia a pompare acqua di mare in tunnel a Gaza",'Intenso sforzo per distruggere l'infrastruttura sotterranea',",
                          12 dicembre 2023, 20:14","L'esercito israeliano ha
iniziato a pompare acqua di mare nel vasto complesso di tunnel
di Hamas a Gaza, parte di un intenso sforzo per distruggere
l'infrastruttura sotterranea che ha sostenuto le operazioni del
gruppo: lo scrive in esclusiva il Wall Street Journal, citando
dirigenti Usa informati sulle operazioni dell'esercito
israeliano.",,
"Berlinale, Tricia Tuttle sarà la nuova direttrice - Ultima ora - Ansa.it","Berlinale, Tricia Tuttle sarà la nuova direttrice","Berlinale, Tricia Tuttle sarà la nuova direttrice",Presentata la statunitense già a capo del Festival londinese Bfi,",
                          12 dicembre 2023, 12:30","La statunitense Tricia Tuttle sarà
in futuro al timone della Berlinale.","La ministra della Cultura
della città-regione Berlino, Claudia Roth, ha presentato nella
capitale tedesca l'ex capo del ""London Film Festival"" (Bfi) come
nuova direttrice del festival cinematografico berlinese.","Lo
riferisce l'agenzia Dpa."
"Borsa: Milano apre poco sopra la parità (+0,05%) - Ultima ora - Ansa.it","Borsa: Milano apre poco sopra la parità (+0,05%)","Borsa: Milano apre poco sopra la parità (+0,05%)",Indice Ftse Mib a 30.356 punti,",
                          13 dicembre 2023, 09:08","La Borsa di Milano ha aperto poco
sopra la parità.","L'indice Ftse Mib ha segnato un guadagno
inziale dello 0,05% a 30.356 punti.",
"Cremlino, 'inammissibili interferenze Usa su Navalny' - Ultima ora - Ansa.it","Cremlino, 'inammissibili interferenze Usa su Navalny'","Cremlino, 'inammissibili interferenze Usa su Navalny'",Ieri Washington ha manifestato la sua preoccupazione,",
                          12 dicembre 2023, 10:50","Le interferenze degli Usa in merito
all'oppositore russo Alexei Navalny sono ""inammissibili"", ha
affermato oggi il portavoce del Cremlino, Dmitry Peskov.      
				   ""Qui stiamo parlando di un detenuto che è stato giudicato
colpevole e sta scontando la sua pena, e ogni interferenza da
parte di chiunque, compresi gli Stati Uniti, è inammissibile"",
ha detto Peskov, citato dall'agenzia Interfax, dopo che ieri
Washington aveva manifestato preoccupazione per Navalny, che
sarebbe stato trasferito in un nuovo carcere.",,
"Mef, niente Imu per immobili occupati abusivamente - Ultima ora - Ansa.it","Mef, niente Imu per immobili occupati abusivamente","Mef, niente Imu per immobili occupati abusivamente",Deve essere stata presentata denuncia all'autorità giudiziaria,",
                          12 dicembre 2023, 14:59","Entro il 18 dicembre i contribuenti
dovranno pagare il saldo Imu.","In proposito, il Mef fa presente
che l'imposta non va versata per gli immobili abusivamente
occupati, per i quali sia stata presentata denuncia all'autorità
giudiziaria per i reati previsti dagli artt.","614, secondo comma,
e 633 c.p., o per i quali sia stata presentata denuncia o
iniziata azione giudiziaria penale. L'esenzione spetta anche se
non è stato ancora adottato il decreto di attuazione, che
riguarda solo il modello dichiarativo. I contribuenti che
fruiscono dell'esenzione dovranno poi presentare la
dichiarazione Imu in via telematica, entro il 30 giugno 2024."
"La laurea in memoria di Giulia,il 2 febbraio consegna a famiglia - Ultima ora - Ansa.it","La laurea in memoria di Giulia,il 2 febbraio consegna a famiglia","La laurea in memoria di Giulia,il 2 febbraio consegna a famiglia",Lo ha deciso il Senato accademico dell'Università di Padova,",
                          12 dicembre 2023, 18:38","Sarà consegnato ai familiari il 2
febbraio 2024 il diploma di laurea di Giulia Cecchettin, la
22enne di Vigonovo vittima di femminicidio.","Lo ha deciso oggi il
Senato Accademico dell'Università di Padova, approvando la
delibera che conferisce a Giulia la laurea alla memoria in
Ingegneria Biomedica.","Com'è noto, la ragazza di Vigonovo, era
stata uccisa pochi giorni prima della discussione della tesi."
